Cửa hàng,Mặt hàng,Nhóm hàng,Tổng bán ra (7 ngày),Tổng nhập (7 ngày),Tồn cuối kỳ
CK001,Đồ uống lạnh #1,Đồ uống lạnh,1646,1516,114
CK001,Thực phẩm chế biến #2,Thực phẩm chế biến,892,896,17
CK001,Bánh kẹo #3,Bánh kẹo,434,404,33
CK001,Mì ly/ăn liền #4,Mì ly/ăn liền,636,592,54
CK001,Sữa/Sản phẩm lạnh #5,Sữa/Sản phẩm lạnh,514,489,46
CK001,Đồ gia dụng #6,Đồ gia dụng,328,304,27
CK001,Hàng giá trị cao #7,Hàng giá trị cao,64,57,4
CK001,Đồ uống lạnh #8,Đồ uống lạnh,1753,1648,151
CK001,Thực phẩm chế biến #9,Thực phẩm chế biến,1008,1004,11
CK001,Bánh kẹo #10,Bánh kẹo,577,526,46
CK001,Mì ly/ăn liền #11,Mì ly/ăn liền,824,778,81
CK001,Sữa/Sản phẩm lạnh #12,Sữa/Sản phẩm lạnh,558,565,15
CK002,Đồ uống lạnh #1,Đồ uống lạnh,2132,2004,186
CK002,Thực phẩm chế biến #2,Thực phẩm chế biến,805,802,7
CK002,Bánh kẹo #3,Bánh kẹo,1026,961,111
CK002,Mì ly/ăn liền #4,Mì ly/ăn liền,893,803,41
CK002,Sữa/Sản phẩm lạnh #5,Sữa/Sản phẩm lạnh,523,499,61
CK002,Đồ gia dụng #6,Đồ gia dụng,292,273,28
CK002,Hàng giá trị cao #7,Hàng giá trị cao,83,77,5
CK002,Đồ uống lạnh #8,Đồ uống lạnh,1207,1136,114
CK002,Thực phẩm chế biến #9,Thực phẩm chế biến,1066,1052,9
CK002,Bánh kẹo #10,Bánh kẹo,440,410,40
CK002,Mì ly/ăn liền #11,Mì ly/ăn liền,1171,1098,92
CK002,Sữa/Sản phẩm lạnh #12,Sữa/Sản phẩm lạnh,372,376,8
CK003,Đồ uống lạnh #1,Đồ uống lạnh,1940,1836,184
CK003,Thực phẩm chế biến #2,Thực phẩm chế biến,1315,1318,17
CK003,Bánh kẹo #3,Bánh kẹo,882,837,83
CK003,Mì ly/ăn liền #4,Mì ly/ăn liền,487,466,49
CK003,Sữa/Sản phẩm lạnh #5,Sữa/Sản phẩm lạnh,379,363,43
CK003,Đồ gia dụng #6,Đồ gia dụng,168,156,17
CK003,Hàng giá trị cao #7,Hàng giá trị cao,48,43,4
CK003,Đồ uống lạnh #8,Đồ uống lạnh,1093,1037,105
CK003,Thực phẩm chế biến #9,Thực phẩm chế biến,801,793,3
CK003,Bánh kẹo #10,Bánh kẹo,626,586,56
CK003,Mì ly/ăn liền #11,Mì ly/ăn liền,651,600,49
CK003,Sữa/Sản phẩm lạnh #12,Sữa/Sản phẩm lạnh,688,695,18
CK004,Đồ uống lạnh #1,Đồ uống lạnh,1048,979,81
CK004,Thực phẩm chế biến #2,Thực phẩm chế biến,1100,1105,25
CK004,Bánh kẹo #3,Bánh kẹo,985,938,100
CK004,Mì ly/ăn liền #4,Mì ly/ăn liền,607,568,54
CK004,Sữa/Sản phẩm lạnh #5,Sữa/Sản phẩm lạnh,374,358,42
CK004,Đồ gia dụng #6,Đồ gia dụng,351,324,28
CK004,Hàng giá trị cao #7,Hàng giá trị cao,211,201,21
CK004,Đồ uống lạnh #8,Đồ uống lạnh,1952,1851,180
CK004,Thực phẩm chế biến #9,Thực phẩm chế biến,509,512,11
CK004,Bánh kẹo #10,Bánh kẹo,595,559,57
CK004,Mì ly/ăn liền #11,Mì ly/ăn liền,467,441,42
CK004,Sữa/Sản phẩm lạnh #12,Sữa/Sản phẩm lạnh,518,511,14
CK005,Đồ uống lạnh #1,Đồ uống lạnh,2381,2242,219
CK005,Thực phẩm chế biến #2,Thực phẩm chế biến,1251,1257,13
CK005,Bánh kẹo #3,Bánh kẹo,653,612,64
CK005,Mì ly/ăn liền #4,Mì ly/ăn liền,1138,1069,93
CK005,Sữa/Sản phẩm lạnh #5,Sữa/Sản phẩm lạnh,572,541,65
CK005,Đồ gia dụng #6,Đồ gia dụng,302,283,29
CK005,Hàng giá trị cao #7,Hàng giá trị cao,186,180,19
CK005,Đồ uống lạnh #8,Đồ uống lạnh,1699,1597,156
CK005,Thực phẩm chế biến #9,Thực phẩm chế biến,880,884,16
CK005,Bánh kẹo #10,Bánh kẹo,896,844,100
CK005,Mì ly/ăn liền #11,Mì ly/ăn liền,550,513,47
CK005,Sữa/Sản phẩm lạnh #12,Sữa/Sản phẩm lạnh,506,532,27
CK006,Đồ uống lạnh #1,Đồ uống lạnh,2058,1922,154
CK006,Thực phẩm chế biến #2,Thực phẩm chế biến,880,880,14
CK006,Bánh kẹo #3,Bánh kẹo,1180,1102,104
CK006,Mì ly/ăn liền #4,Mì ly/ăn liền,1073,996,80
CK006,Sữa/Sản phẩm lạnh #5,Sữa/Sản phẩm lạnh,470,435,36
CK006,Đồ gia dụng #6,Đồ gia dụng,205,192,21
CK006,Hàng giá trị cao #7,Hàng giá trị cao,175,164,16
CK006,Đồ uống lạnh #8,Đồ uống lạnh,1956,1811,132
CK006,Thực phẩm chế biến #9,Thực phẩm chế biến,627,623,8
CK006,Bánh kẹo #10,Bánh kẹo,848,794,72
CK006,Mì ly/ăn liền #11,Mì ly/ăn liền,1052,973,98
CK006,Sữa/Sản phẩm lạnh #12,Sữa/Sản phẩm lạnh,475,481,23
CK007,Đồ uống lạnh #1,Đồ uống lạnh,2392,2260,199
CK007,Thực phẩm chế biến #2,Thực phẩm chế biến,688,690,14
CK007,Bánh kẹo #3,Bánh kẹo,1037,978,101
CK007,Mì ly/ăn liền #4,Mì ly/ăn liền,1243,1152,114
CK007,Sữa/Sản phẩm lạnh #5,Sữa/Sản phẩm lạnh,678,646,77
CK007,Đồ gia dụng #6,Đồ gia dụng,168,157,16
CK007,Hàng giá trị cao #7,Hàng giá trị cao,178,166,20
CK007,Đồ uống lạnh #8,Đồ uống lạnh,2394,2250,188
CK007,Thực phẩm chế biến #9,Thực phẩm chế biến,898,895,10
CK007,Bánh kẹo #10,Bánh kẹo,978,915,76
CK007,Mì ly/ăn liền #11,Mì ly/ăn liền,816,759,71
CK007,Sữa/Sản phẩm lạnh #12,Sữa/Sản phẩm lạnh,607,601,15
CK008,Đồ uống lạnh #1,Đồ uống lạnh,1199,1129,97
CK008,Thực phẩm chế biến #2,Thực phẩm chế biến,983,990,17
CK008,Bánh kẹo #3,Bánh kẹo,1045,986,109
CK008,Mì ly/ăn liền #4,Mì ly/ăn liền,755,704,62
CK008,Sữa/Sản phẩm lạnh #5,Sữa/Sản phẩm lạnh,523,503,62
CK008,Đồ gia dụng #6,Đồ gia dụng,278,253,20
CK008,Hàng giá trị cao #7,Hàng giá trị cao,141,129,12
CK008,Đồ uống lạnh #8,Đồ uống lạnh,1996,1860,137
CK008,Thực phẩm chế biến #9,Thực phẩm chế biến,1320,1312,19
CK008,Bánh kẹo #10,Bánh kẹo,865,809,76
CK008,Mì ly/ăn liền #11,Mì ly/ăn liền,628,585,51
CK008,Sữa/Sản phẩm lạnh #12,Sữa/Sản phẩm lạnh,555,550,15
