date,day_idx,store_id,sku_id,day_of_week,is_weekend,temperature_c,is_tet_period,opening_stock,units_sold,lost_sales,closing_stock,units_received,promo
2026-01-01,0,1,1,3,0,29,0,12,32,0.0,30,50,0
2026-01-02,1,1,1,4,0,31,0,30,30,0.0,0,0,1
2026-01-01,0,2,1,3,0,29,0,28,28,0.0,0,0,0
2024-06-04,0,1,1,1,0,29.9,0,244,33,0.0,211,0,0
2024-06-05,1,1,1,2,0,30.0,0,211,41,0.0,170,0,0
2024-06-06,2,1,1,3,0,27.6,0,170,26,0.0,144,0,0
2024-06-07,3,1,1,4,0,30.6,0,144,37,0.0,107,0,0
2024-06-08,4,1,1,5,1,28.7,0,107,39,0.0,68,0,0
2024-06-09,5,1,1,6,1,22.7,0,68,34,0.0,34,0,0
2024-06-10,6,1,1,0,0,27.9,0,34,31,0.0,242,239,0
2024-06-11,7,1,1,1,0,27.6,0,242,36,0.0,206,0,0
2024-06-12,8,1,1,2,0,26.3,0,206,23,0.0,183,0,0
2024-06-13,9,1,1,3,0,27.7,0,183,38,0.0,145,0,0
2024-06-14,10,1,1,4,0,27.5,0,145,39,0.0,106,0,0
2024-06-15,11,1,1,5,1,28.7,0,106,41,0.0,65,0,0
2024-06-16,12,1,1,6,1,29.8,0,65,43,0.0,22,0,0
2024-06-17,13,1,1,0,0,27.8,0,22,43,0.0,230,251,0
2024-06-18,14,1,1,1,0,27.9,0,230,30,0.0,200,0,0
2024-06-19,15,1,1,2,0,24.7,0,200,32,0.0,168,0,0
2024-06-20,16,1,1,3,0,28.2,0,168,32,0.0,136,0,0
2024-06-21,17,1,1,4,0,27.4,0,136,32,0.0,104,0,0
2024-06-22,18,1,1,5,1,29.5,0,104,55,0.0,49,0,0
2024-06-23,19,1,1,6,1,31.1,0,49,49,0.0,0,0,0
2024-06-24,20,1,1,0,0,28.2,0,0,36,0.0,237,273,0
2024-06-25,21,1,1,1,0,28.6,0,237,26,0.0,211,0,0
2024-06-26,22,1,1,2,0,26.0,0,211,21,0.0,190,0,0
2024-06-27,23,1,1,3,0,27.2,0,190,30,0.0,160,0,0
2024-06-28,24,1,1,4,0,31.2,0,160,36,0.0,124,0,0
2024-06-29,25,1,1,5,1,27.8,0,124,47,0.0,77,0,0
2024-06-30,26,1,1,6,1,27.4,0,77,34,0.0,43,0,0
2024-07-01,27,1,1,0,0,29.5,0,43,38,0.0,235,230,0
2024-07-02,28,1,1,1,0,28.0,0,235,31,0.0,204,0,0
2024-07-03,29,1,1,2,0,27.3,0,204,40,0.0,164,0,0
2024-07-04,30,1,1,3,0,28.6,0,164,31,0.0,133,0,0
2024-07-05,31,1,1,4,0,27.6,0,133,32,0.0,101,0,0
2024-07-06,32,1,1,5,1,29.8,0,101,44,0.0,57,0,0
2024-07-07,33,1,1,6,1,27.0,0,57,42,0.0,15,0,0
2024-07-08,34,1,1,0,0,28.7,0,15,37,0.0,236,258,0
2024-07-09,35,1,1,1,0,31.4,0,236,40,0.0,196,0,0
2024-07-10,36,1,1,2,0,27.1,0,196,41,0.0,155,0,0
2024-07-11,37,1,1,3,0,25.1,0,155,30,0.0,125,0,0
2024-07-12,38,1,1,4,0,29.4,0,125,44,0.0,81,0,0
2024-07-13,39,1,1,5,1,29.4,0,81,43,0.0,38,0,0
2024-07-14,40,1,1,6,1,27.3,0,38,30,0.0,8,0,0
2024-07-15,41,1,1,0,0,28.4,0,8,33,0.0,240,265,0
2024-07-16,42,1,1,1,0,28.2,0,240,50,0.0,190,0,0
2024-07-17,43,1,1,2,0,26.0,0,190,32,0.0,158,0,0
2024-07-18,44,1,1,3,0,28.6,0,158,44,0.0,114,0,0
2024-06-04,0,1,2,1,0,29.9,0,13,20,0.0,9,16,0
2024-06-05,1,1,2,2,0,30.0,0,9,19,0.0,10,20,0
2024-06-06,2,1,2,3,0,27.6,0,10,24,0.0,5,19,0
2024-06-07,3,1,2,4,0,30.6,0,5,24,0.0,5,24,0
2024-06-08,4,1,2,5,1,28.7,0,5,17,0.0,12,24,0
2024-06-09,5,1,2,6,1,22.7,0,12,17,0.0,12,17,0
2024-06-10,6,1,2,0,0,27.9,0,12,22,0.0,7,17,0
2024-06-11,7,1,2,1,0,27.6,0,7,19,0.0,10,22,0
2024-06-12,8,1,2,2,0,26.3,0,10,23,0.0,6,19,0
2024-06-13,9,1,2,3,0,27.7,0,6,20,0.0,9,23,0
2024-06-14,10,1,2,4,0,27.5,0,9,15,0.0,14,20,0
2024-06-15,11,1,2,5,1,28.7,0,14,17,0.0,12,15,0
2024-06-16,12,1,2,6,1,29.8,0,12,27,0.0,2,17,0
2024-06-17,13,1,2,0,0,27.8,0,2,23,0.0,6,27,0
2024-06-18,14,1,2,1,0,27.9,0,6,22,0.0,7,23,0
2024-06-19,15,1,2,2,0,24.7,0,7,25,0.0,4,22,0
2024-06-20,16,1,2,3,0,28.2,0,4,19,0.0,10,25,0
2024-06-21,17,1,2,4,0,27.4,0,10,16,0.0,13,19,0
2024-06-22,18,1,2,5,1,29.5,0,13,24,0.0,5,16,0
2024-06-23,19,1,2,6,1,31.1,0,5,25,0.0,4,24,0
2024-06-24,20,1,2,0,0,28.2,0,4,23,0.0,6,25,0
2024-06-25,21,1,2,1,0,28.6,0,6,11,0.0,18,23,0
2024-06-26,22,1,2,2,0,26.0,0,18,21,0.0,8,11,0
2024-06-27,23,1,2,3,0,27.2,0,8,20,0.0,9,21,0
2024-06-28,24,1,2,4,0,31.2,0,9,17,0.0,12,20,0
2024-06-29,25,1,2,5,1,27.8,0,12,26,0.0,3,17,0
2024-06-30,26,1,2,6,1,27.4,0,3,29,0.0,0,26,0
2024-07-01,27,1,2,0,0,29.5,0,0,20,0.0,9,29,0
2024-07-02,28,1,2,1,0,28.0,0,9,22,0.0,7,20,0
2024-07-03,29,1,2,2,0,27.3,0,7,13,0.0,16,22,0
2024-07-04,30,1,2,3,0,28.6,0,16,28,0.0,1,13,0
2024-07-05,31,1,2,4,0,27.6,0,1,12,0.0,17,28,0
2024-07-06,32,1,2,5,1,29.8,0,17,18,0.0,11,12,0
2024-07-07,33,1,2,6,1,27.0,0,11,24,0.0,5,18,0
2024-07-08,34,1,2,0,0,28.7,0,5,7,0.0,22,24,0
2024-07-09,35,1,2,1,0,31.4,0,22,16,0.0,13,7,0
2024-07-10,36,1,2,2,0,27.1,0,13,21,0.0,8,16,0
2024-07-11,37,1,2,3,0,25.1,0,8,18,0.0,11,21,0
2024-07-12,38,1,2,4,0,29.4,0,11,21,0.0,8,18,0
2024-07-13,39,1,2,5,1,29.4,0,8,19,0.0,10,21,0
2024-07-14,40,1,2,6,1,27.3,0,10,16,0.0,13,19,0
2024-07-15,41,1,2,0,0,28.4,0,13,22,0.0,7,16,0
2024-07-16,42,1,2,1,0,28.2,0,7,16,0.0,13,22,0
2024-07-17,43,1,2,2,0,26.0,0,13,22,0.0,7,16,0
2024-07-18,44,1,2,3,0,28.6,0,7,12,0.0,17,22,0
2024-06-04,0,1,3,1,0,29.9,0,63,6,0.0,57,0,0
2024-06-05,1,1,3,2,0,30.0,0,57,6,0.0,51,0,0
2024-06-06,2,1,3,3,0,27.6,0,51,6,0.0,45,0,0
2024-06-07,3,1,3,4,0,30.6,0,45,9,0.0,36,0,0
2024-06-08,4,1,3,5,1,28.7,0,36,12,0.0,24,0,0
2024-06-09,5,1,3,6,1,22.7,0,24,13,0.0,11,0,0
2024-06-10,6,1,3,0,0,27.9,0,11,7,0.0,69,65,0
2024-06-11,7,1,3,1,0,27.6,0,69,12,0.0,57,0,0
2024-06-12,8,1,3,2,0,26.3,0,57,9,0.0,48,0,0
2024-06-13,9,1,3,3,0,27.7,0,48,9,0.0,39,0,0
2024-06-14,10,1,3,4,0,27.5,0,39,8,0.0,31,0,0
2024-06-15,11,1,3,5,1,28.7,0,31,9,0.0,22,0,0
2024-06-16,12,1,3,6,1,29.8,0,22,9,0.0,13,0,0
2024-06-17,13,1,3,0,0,27.8,0,13,12,0.0,64,63,0
2024-06-18,14,1,3,1,0,27.9,0,64,13,0.0,51,0,0
2024-06-19,15,1,3,2,0,24.7,0,51,4,0.0,47,0,0
2024-06-20,16,1,3,3,0,28.2,0,47,16,0.0,31,0,0
2024-06-21,17,1,3,4,0,27.4,0,31,6,0.0,25,0,0
2024-06-22,18,1,3,5,1,29.5,0,25,11,0.0,14,0,0
2024-06-23,19,1,3,6,1,31.1,0,14,14,0.0,0,0,0
2024-06-24,20,1,3,0,0,28.2,0,0,8,0.0,68,76,0
2024-06-25,21,1,3,1,0,28.6,0,68,9,0.0,59,0,0
2024-06-26,22,1,3,2,0,26.0,0,59,15,0.0,44,0,0
2024-06-27,23,1,3,3,0,27.2,0,44,6,0.0,38,0,0
2024-06-28,24,1,3,4,0,31.2,0,38,17,0.0,21,0,0
2024-06-29,25,1,3,5,1,27.8,0,21,8,0.0,13,0,0
2024-06-30,26,1,3,6,1,27.4,0,13,10,0.0,3,0,0
2024-07-01,27,1,3,0,0,29.5,0,3,9,0.0,67,73,0
2024-07-02,28,1,3,1,0,28.0,0,67,9,0.0,58,0,0
2024-07-03,29,1,3,2,0,27.3,0,58,6,0.0,52,0,0
2024-07-04,30,1,3,3,0,28.6,0,52,5,0.0,47,0,0
2024-07-05,31,1,3,4,0,27.6,0,47,10,0.0,37,0,0
2024-07-06,32,1,3,5,1,29.8,0,37,13,0.0,24,0,0
2024-07-07,33,1,3,6,1,27.0,0,24,9,0.0,15,0,0
2024-07-08,34,1,3,0,0,28.7,0,15,12,0.0,64,61,0
2024-07-09,35,1,3,1,0,31.4,0,64,9,0.0,55,0,0
2024-07-10,36,1,3,2,0,27.1,0,55,7,0.0,48,0,0
2024-07-11,37,1,3,3,0,25.1,0,48,8,0.0,40,0,0
2024-07-12,38,1,3,4,0,29.4,0,40,6,0.0,34,0,0
2024-07-13,39,1,3,5,1,29.4,0,34,14,0.0,20,0,0
2024-07-14,40,1,3,6,1,27.3,0,20,10,0.0,10,0,0
2024-07-15,41,1,3,0,0,28.4,0,10,6,0.0,70,66,0
2024-07-16,42,1,3,1,0,28.2,0,70,12,0.0,58,0,0
2024-07-17,43,1,3,2,0,26.0,0,58,9,0.0,49,0,0
2024-07-18,44,1,3,3,0,28.6,0,49,16,0.0,33,0,0
2024-06-04,0,1,4,1,0,29.9,0,98,18,0.0,80,0,0
2024-06-05,1,1,4,2,0,30.0,0,80,15,0.0,65,0,0
2024-06-06,2,1,4,3,0,27.6,0,65,17,0.0,48,0,0
2024-06-07,3,1,4,4,0,30.6,0,48,11,0.0,37,0,0
2024-06-08,4,1,4,5,1,28.7,0,37,16,0.0,21,0,0
2024-06-09,5,1,4,6,1,22.7,0,21,11,0.0,10,0,0
2024-06-10,6,1,4,0,0,27.9,0,10,9,0.0,105,104,0
2024-06-11,7,1,4,1,0,27.6,0,105,11,0.0,94,0,0
2024-06-12,8,1,4,2,0,26.3,0,94,13,0.0,81,0,0
2024-06-13,9,1,4,3,0,27.7,0,81,15,0.0,66,0,0
2024-06-14,10,1,4,4,0,27.5,0,66,15,0.0,51,0,0
2024-06-15,11,1,4,5,1,28.7,0,51,16,0.0,35,0,0
2024-06-16,12,1,4,6,1,29.8,0,35,12,0.0,23,0,0
2024-06-17,13,1,4,0,0,27.8,0,23,10,0.0,104,91,0
2024-06-18,14,1,4,1,0,27.9,0,104,8,0.0,96,0,0
2024-06-19,15,1,4,2,0,24.7,0,96,20,0.0,76,0,0
2024-06-20,16,1,4,3,0,28.2,0,76,9,0.0,67,0,0
2024-06-21,17,1,4,4,0,27.4,0,67,10,0.0,57,0,0
2024-06-22,18,1,4,5,1,29.5,0,57,11,0.0,46,0,0
2024-06-23,19,1,4,6,1,31.1,0,46,16,0.0,30,0,0
2024-06-24,20,1,4,0,0,28.2,0,30,8,0.0,106,84,0
2024-06-25,21,1,4,1,0,28.6,0,106,16,0.0,90,0,0
2024-06-26,22,1,4,2,0,26.0,0,90,5,0.0,85,0,0
2024-06-27,23,1,4,3,0,27.2,0,85,13,0.0,72,0,0
2024-06-28,24,1,4,4,0,31.2,0,72,9,0.0,63,0,0
2024-06-29,25,1,4,5,1,27.8,0,63,27,0.0,36,0,0
2024-06-30,26,1,4,6,1,27.4,0,36,20,0.0,16,0,0
2024-07-01,27,1,4,0,0,29.5,0,16,19,0.0,95,98,0
2024-07-02,28,1,4,1,0,28.0,0,95,23,0.0,72,0,0
2024-07-03,29,1,4,2,0,27.3,0,72,13,0.0,59,0,0
2024-07-04,30,1,4,3,0,28.6,0,59,15,0.0,44,0,0
2024-07-05,31,1,4,4,0,27.6,0,44,18,0.0,26,0,0
2024-07-06,32,1,4,5,1,29.8,0,26,11,0.0,15,0,0
2024-07-07,33,1,4,6,1,27.0,0,15,15,0.0,0,0,0
2024-07-08,34,1,4,0,0,28.7,0,0,15,0.0,99,114,0
2024-07-09,35,1,4,1,0,31.4,0,99,9,0.0,90,0,0
2024-07-10,36,1,4,2,0,27.1,0,90,14,0.0,76,0,0
2024-07-11,37,1,4,3,0,25.1,0,76,10,0.0,66,0,0
2024-07-12,38,1,4,4,0,29.4,0,66,14,0.0,52,0,0
2024-07-13,39,1,4,5,1,29.4,0,52,18,0.0,34,0,0
2024-07-14,40,1,4,6,1,27.3,0,34,21,0.0,13,0,0
2024-07-15,41,1,4,0,0,28.4,0,13,14,0.0,100,101,0
2024-07-16,42,1,4,1,0,28.2,0,100,16,0.0,84,0,0
2024-07-17,43,1,4,2,0,26.0,0,84,17,0.0,67,0,0
2024-07-18,44,1,4,3,0,28.6,0,67,13,0.0,54,0,0
2024-06-04,0,1,5,1,0,29.9,0,71,9,0.0,62,0,0
2024-06-05,1,1,5,2,0,30.0,0,62,4,0.0,58,0,0
2024-06-06,2,1,5,3,0,27.6,0,58,10,0.0,48,0,0
2024-06-07,3,1,5,4,0,30.6,0,48,18,0.0,30,0,0
2024-06-08,4,1,5,5,1,28.7,0,30,9,0.0,21,0,0
2024-06-09,5,1,5,6,1,22.7,0,21,9,0.0,12,0,0
2024-06-10,6,1,5,0,0,27.9,0,12,7,0.0,78,73,0
2024-06-11,7,1,5,1,0,27.6,0,78,18,0.0,60,0,0
2024-06-12,8,1,5,2,0,26.3,0,60,12,0.0,48,0,0
2024-06-13,9,1,5,3,0,27.7,0,48,10,0.0,38,0,0
2024-06-14,10,1,5,4,0,27.5,0,38,12,0.0,26,0,0
2024-06-15,11,1,5,5,1,28.7,0,26,10,0.0,16,0,0
2024-06-16,12,1,5,6,1,29.8,0,16,14,0.0,2,0,0
2024-06-17,13,1,5,0,0,27.8,0,2,14,0.0,71,83,0
2024-06-18,14,1,5,1,0,27.9,0,71,11,0.0,60,0,0
2024-06-19,15,1,5,2,0,24.7,0,60,10,0.0,50,0,0
2024-06-20,16,1,5,3,0,28.2,0,50,13,0.0,37,0,0
2024-06-21,17,1,5,4,0,27.4,0,37,8,0.0,29,0,0
2024-06-22,18,1,5,5,1,29.5,0,29,12,0.0,17,0,0
2024-06-23,19,1,5,6,1,31.1,0,17,15,0.0,2,0,0
2024-06-24,20,1,5,0,0,28.2,0,2,10,0.0,75,83,0
2024-06-25,21,1,5,1,0,28.6,0,75,5,0.0,70,0,0
2024-06-26,22,1,5,2,0,26.0,0,70,14,0.0,56,0,0
2024-06-27,23,1,5,3,0,27.2,0,56,8,0.0,48,0,0
2024-06-28,24,1,5,4,0,31.2,0,48,12,0.0,36,0,0
2024-06-29,25,1,5,5,1,27.8,0,36,16,0.0,20,0,0
2024-06-30,26,1,5,6,1,27.4,0,20,17,0.0,3,0,0
2024-07-01,27,1,5,0,0,29.5,0,3,9,0.0,76,82,0
2024-07-02,28,1,5,1,0,28.0,0,76,10,0.0,66,0,0
2024-07-03,29,1,5,2,0,27.3,0,66,13,0.0,53,0,0
2024-07-04,30,1,5,3,0,28.6,0,53,15,0.0,38,0,0
2024-07-05,31,1,5,4,0,27.6,0,38,8,0.0,30,0,0
2024-07-06,32,1,5,5,1,29.8,0,30,14,0.0,16,0,0
2024-07-07,33,1,5,6,1,27.0,0,16,16,0.0,0,0,0
2024-07-08,34,1,5,0,0,28.7,0,0,12,0.0,73,85,0
2024-07-09,35,1,5,1,0,31.4,0,73,5,0.0,68,0,0
2024-07-10,36,1,5,2,0,27.1,0,68,11,0.0,57,0,0
2024-07-11,37,1,5,3,0,25.1,0,57,12,0.0,45,0,0
2024-07-12,38,1,5,4,0,29.4,0,45,10,0.0,35,0,0
2024-07-13,39,1,5,5,1,29.4,0,35,18,0.0,17,0,0
2024-07-14,40,1,5,6,1,27.3,0,17,15,0.0,2,0,0
2024-07-15,41,1,5,0,0,28.4,0,2,9,0.0,76,83,0
2024-07-16,42,1,5,1,0,28.2,0,76,10,0.0,66,0,0
2024-07-17,43,1,5,2,0,26.0,0,66,8,0.0,58,0,0
2024-07-18,44,1,5,3,0,28.6,0,58,12,0.0,46,0,0
2024-06-04,0,1,6,1,0,29.9,0,51,7,0.0,44,0,0
2024-06-05,1,1,6,2,0,30.0,0,44,9,0.0,35,0,0
2024-06-06,2,1,6,3,0,27.6,0,35,4,0.0,31,0,0
2024-06-07,3,1,6,4,0,30.6,0,31,1,0.0,30,0,0
2024-06-08,4,1,6,5,1,28.7,0,30,8,0.0,22,0,0
2024-06-09,5,1,6,6,1,22.7,0,22,4,0.0,18,0,0
2024-06-10,6,1,6,0,0,27.9,0,18,7,0.0,51,40,0
2024-06-11,7,1,6,1,0,27.6,0,51,3,0.0,48,0,0
2024-06-12,8,1,6,2,0,26.3,0,48,6,0.0,42,0,0
2024-06-13,9,1,6,3,0,27.7,0,42,7,0.0,35,0,0
2024-06-14,10,1,6,4,0,27.5,0,35,8,0.0,27,0,0
2024-06-15,11,1,6,5,1,28.7,0,27,11,0.0,16,0,0
2024-06-16,12,1,6,6,1,29.8,0,16,16,0.0,0,0,0
2024-06-17,13,1,6,0,0,27.8,0,0,11,0.0,47,58,0
2024-06-18,14,1,6,1,0,27.9,0,47,0,0.0,47,0,0
2024-06-19,15,1,6,2,0,24.7,0,47,7,0.0,40,0,0
2024-06-20,16,1,6,3,0,28.2,0,40,7,0.0,33,0,0
2024-06-21,17,1,6,4,0,27.4,0,33,9,0.0,24,0,0
2024-06-22,18,1,6,5,1,29.5,0,24,4,0.0,20,0,0
2024-06-23,19,1,6,6,1,31.1,0,20,16,0.0,4,0,0
2024-06-24,20,1,6,0,0,28.2,0,4,11,0.0,47,54,0
2024-06-25,21,1,6,1,0,28.6,0,47,9,0.0,38,0,0
2024-06-26,22,1,6,2,0,26.0,0,38,5,0.0,33,0,0
2024-06-27,23,1,6,3,0,27.2,0,33,6,0.0,27,0,0
2024-06-28,24,1,6,4,0,31.2,0,27,6,0.0,21,0,0
2024-06-29,25,1,6,5,1,27.8,0,21,7,0.0,14,0,0
2024-06-30,26,1,6,6,1,27.4,0,14,6,0.0,8,0,0
2024-07-01,27,1,6,0,0,29.5,0,8,10,0.0,48,50,0
2024-07-02,28,1,6,1,0,28.0,0,48,7,0.0,41,0,0
2024-07-03,29,1,6,2,0,27.3,0,41,10,0.0,31,0,0
2024-07-04,30,1,6,3,0,28.6,0,31,5,0.0,26,0,0
2024-07-05,31,1,6,4,0,27.6,0,26,6,0.0,20,0,0
2024-07-06,32,1,6,5,1,29.8,0,20,9,0.0,11,0,0
2024-07-07,33,1,6,6,1,27.0,0,11,7,0.0,4,0,0
2024-07-08,34,1,6,0,0,28.7,0,4,9,0.0,49,54,0
2024-07-09,35,1,6,1,0,31.4,0,49,8,0.0,41,0,0
2024-07-10,36,1,6,2,0,27.1,0,41,7,0.0,34,0,0
2024-07-11,37,1,6,3,0,25.1,0,34,9,0.0,25,0,0
2024-07-12,38,1,6,4,0,29.4,0,25,2,0.0,23,0,0
2024-07-13,39,1,6,5,1,29.4,0,23,8,0.0,15,0,0
2024-07-14,40,1,6,6,1,27.3,0,15,5,0.0,10,0,0
2024-07-15,41,1,6,0,0,28.4,0,10,10,0.0,48,48,0
2024-07-16,42,1,6,1,0,28.2,0,48,8,0.0,40,0,0
2024-07-17,43,1,6,2,0,26.0,0,40,6,0.0,34,0,0
2024-07-18,44,1,6,3,0,28.6,0,34,7,0.0,27,0,0
2024-06-04,0,1,7,1,0,29.9,0,11,1,0.0,10,0,0
2024-06-05,1,1,7,2,0,30.0,0,10,1,0.0,9,0,0
2024-06-06,2,1,7,3,0,27.6,0,9,1,0.0,8,0,0
2024-06-07,3,1,7,4,0,30.6,0,8,3,0.0,5,0,0
2024-06-08,4,1,7,5,1,28.7,0,5,3,0.0,2,0,0
2024-06-09,5,1,7,6,1,22.7,0,2,0,0.0,2,0,0
2024-06-10,6,1,7,0,0,27.9,0,2,0,0.0,12,10,0
2024-06-11,7,1,7,1,0,27.6,0,12,0,0.0,12,0,0
2024-06-12,8,1,7,2,0,26.3,0,12,2,0.0,10,0,0
2024-06-13,9,1,7,3,0,27.7,0,10,1,0.0,9,0,0
2024-06-14,10,1,7,4,0,27.5,0,9,0,0.0,9,0,0
2024-06-15,11,1,7,5,1,28.7,0,9,2,0.0,7,0,0
2024-06-16,12,1,7,6,1,29.8,0,7,4,0.0,3,0,0
2024-06-17,13,1,7,0,0,27.8,0,3,1,0.0,11,9,0
2024-06-18,14,1,7,1,0,27.9,0,11,2,0.0,9,0,0
2024-06-19,15,1,7,2,0,24.7,0,9,1,0.0,8,0,0
2024-06-20,16,1,7,3,0,28.2,0,8,2,0.0,6,0,0
2024-06-21,17,1,7,4,0,27.4,0,6,0,0.0,6,0,0
2024-06-22,18,1,7,5,1,29.5,0,6,1,0.0,5,0,0
2024-06-23,19,1,7,6,1,31.1,0,5,1,0.0,4,0,0
2024-06-24,20,1,7,0,0,28.2,0,4,1,0.0,11,8,0
2024-06-25,21,1,7,1,0,28.6,0,11,1,0.0,10,0,0
2024-06-26,22,1,7,2,0,26.0,0,10,1,0.0,9,0,0
2024-06-27,23,1,7,3,0,27.2,0,9,1,0.0,8,0,0
2024-06-28,24,1,7,4,0,31.2,0,8,2,0.0,6,0,0
2024-06-29,25,1,7,5,1,27.8,0,6,1,0.0,5,0,0
2024-06-30,26,1,7,6,1,27.4,0,5,5,0.0,0,0,0
2024-07-01,27,1,7,0,0,29.5,0,0,2,0.0,10,12,0
2024-07-02,28,1,7,1,0,28.0,0,10,0,0.0,10,0,0
2024-07-03,29,1,7,2,0,27.3,0,10,1,0.0,9,0,0
2024-07-04,30,1,7,3,0,28.6,0,9,1,0.0,8,0,0
2024-07-05,31,1,7,4,0,27.6,0,8,2,0.0,6,0,0
2024-07-06,32,1,7,5,1,29.8,0,6,1,0.0,5,0,0
2024-07-07,33,1,7,6,1,27.0,0,5,3,0.0,2,0,0
2024-07-08,34,1,7,0,0,28.7,0,2,3,0.0,9,10,0
2024-07-09,35,1,7,1,0,31.4,0,9,2,0.0,7,0,0
2024-07-10,36,1,7,2,0,27.1,0,7,1,0.0,6,0,0
2024-07-11,37,1,7,3,0,25.1,0,6,2,0.0,4,0,0
2024-07-12,38,1,7,4,0,29.4,0,4,0,0.0,4,0,0
2024-07-13,39,1,7,5,1,29.4,0,4,0,0.0,4,0,0
2024-07-14,40,1,7,6,1,27.3,0,4,0,0.0,4,0,0
2024-07-15,41,1,7,0,0,28.4,0,4,0,0.0,12,8,0
2024-07-16,42,1,7,1,0,28.2,0,12,3,0.0,9,0,0
2024-07-17,43,1,7,2,0,26.0,0,9,3,0.0,6,0,0
2024-07-18,44,1,7,3,0,28.6,0,6,2,0.0,4,0,0
2024-06-04,0,1,8,1,0,29.9,0,256,30,0.0,226,0,0
2024-06-05,1,1,8,2,0,30.0,0,226,37,0.0,189,0,0
2024-06-06,2,1,8,3,0,27.6,0,189,31,0.0,158,0,0
2024-06-07,3,1,8,4,0,30.6,0,158,50,0.0,108,0,0
2024-06-08,4,1,8,5,1,28.7,0,108,48,0.0,60,0,0
2024-06-09,5,1,8,6,1,22.7,0,60,35,0.0,25,0,0
2024-06-10,6,1,8,0,0,27.9,0,25,45,0.0,256,276,0
2024-06-11,7,1,8,1,0,27.6,0,256,41,0.0,215,0,0
2024-06-12,8,1,8,2,0,26.3,0,215,49,0.0,166,0,0
2024-06-13,9,1,8,3,0,27.7,0,166,41,0.0,125,0,0
2024-06-14,10,1,8,4,0,27.5,0,125,39,0.0,86,0,0
2024-06-15,11,1,8,5,1,28.7,0,86,52,0.0,34,0,0
2024-06-16,12,1,8,6,1,29.8,0,34,34,0.0,0,0,0
2024-06-17,13,1,8,0,0,27.8,0,0,34,0.0,267,301,0
2024-06-18,14,1,8,1,0,27.9,0,267,36,0.0,231,0,0
2024-06-19,15,1,8,2,0,24.7,0,231,29,0.0,202,0,0
2024-06-20,16,1,8,3,0,28.2,0,202,49,0.0,153,0,0
2024-06-21,17,1,8,4,0,27.4,0,153,41,0.0,112,0,0
2024-06-22,18,1,8,5,1,29.5,0,112,32,0.0,80,0,0
2024-06-23,19,1,8,6,1,31.1,0,80,39,0.0,41,0,0
2024-06-24,20,1,8,0,0,28.2,0,41,41,0.0,260,260,0
2024-06-25,21,1,8,1,0,28.6,0,260,48,0.0,212,0,0
2024-06-26,22,1,8,2,0,26.0,0,212,31,0.0,181,0,0
2024-06-27,23,1,8,3,0,27.2,0,181,38,0.0,143,0,0
2024-06-28,24,1,8,4,0,31.2,0,143,48,0.0,95,0,0
2024-06-29,25,1,8,5,1,27.8,0,95,40,0.0,55,0,0
2024-06-30,26,1,8,6,1,27.4,0,55,33,0.0,22,0,0
2024-07-01,27,1,8,0,0,29.5,0,22,33,0.0,268,279,0
2024-07-02,28,1,8,1,0,28.0,0,268,25,0.0,243,0,0
2024-07-03,29,1,8,2,0,27.3,0,243,38,0.0,205,0,0
2024-07-04,30,1,8,3,0,28.6,0,205,39,0.0,166,0,0
2024-07-05,31,1,8,4,0,27.6,0,166,39,0.0,127,0,0
2024-07-06,32,1,8,5,1,29.8,0,127,36,0.0,91,0,0
2024-07-07,33,1,8,6,1,27.0,0,91,47,0.0,44,0,0
2024-07-08,34,1,8,0,0,28.7,0,44,49,0.0,252,257,0
2024-07-09,35,1,8,1,0,31.4,0,252,46,0.0,206,0,0
2024-07-10,36,1,8,2,0,27.1,0,206,27,0.0,179,0,0
2024-07-11,37,1,8,3,0,25.1,0,179,35,0.0,144,0,0
2024-07-12,38,1,8,4,0,29.4,0,144,36,0.0,108,0,0
2024-07-13,39,1,8,5,1,29.4,0,108,38,0.0,70,0,0
2024-07-14,40,1,8,6,1,27.3,0,70,44,0.0,26,0,0
2024-07-15,41,1,8,0,0,28.4,0,26,36,0.0,265,275,0
2024-07-16,42,1,8,1,0,28.2,0,265,43,0.0,222,0,0
